author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/306599723/;Москва;sale;flat;9;9;-1;31.2;55848000.0;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679846/;Москва;sale;flat;7;20;1;27.87;14850725.0;Даниловский;;;Тульская;Форст ЖК
Елена Стометова;realtor;https://www.cian.ru/sale/flat/307154562/;Москва;sale;flat;-1;-1;-1;-1.0;4650000.0;Даниловский;Автозаводская ;19К1;Автозаводская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301910802/;Москва;sale;flat;3;27;1;27.6;15925200.0;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679583/;Москва;sale;flat;6;20;1;24.93;13984508.0;Даниловский;Автозаводская ;26;Тульская;FORST
ID 71425028;unknown;https://www.cian.ru/sale/flat/307589922/;Москва;sale;flat;2;8;1;36.0;8950000.0;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
MR Group;developer;https://www.cian.ru/sale/flat/307413632/;Москва;sale;flat;2;21;1;22.9;12521949.0;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307006861/;Москва;sale;flat;5;6;-1;28.8;11500000.0;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305916876/;Москва;sale;flat;4;4;-1;13.5;4255000.0;Марфино;Малая Ботаническая ;10А;Фонвизинская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196100/;Москва;sale;flat;10;25;1;23.9;13717094.0;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679586/;Москва;sale;flat;7;20;1;27.73;14584621.0;Даниловский;Автозаводская ;26;Тульская;FORST
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/303965382/;Москва;sale;flat;1;6;-1;16.8;3696000.0;Марфино;Гостиничный проезд;8К1;Окружная;
Среда;developer;https://www.cian.ru/sale/flat/306383368/;Москва;sale;flat;3;13;1;23.5;11350029.0;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
ID 111240424;homeowner;https://www.cian.ru/sale/flat/308000690/;Москва;sale;flat;2;50;1;30.0;19000000.0;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
GloraX;developer;https://www.cian.ru/sale/flat/303476993/;Москва;sale;flat;2;21;-1;35.5;21329999.0;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Среда;developer;https://www.cian.ru/sale/flat/304774967/;Москва;sale;flat;4;44;1;23.03;11704997.0;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
ID 85604823;unknown;https://www.cian.ru/sale/flat/307610760/;Москва;sale;flat;3;15;1;30.0;19000000.0;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/306234673/;Москва;sale;flat;1;5;-1;12.0;2950000.0;Котловка;Нагорная ;22К2;Нагорная;
FORMA;developer;https://www.cian.ru/sale/flat/305605383/;Москва;sale;flat;5;33;1;27.36;20205360.0;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
DOLGOV PRO;real_estate_agent;https://www.cian.ru/sale/flat/294355446/;Москва;sale;flat;10;14;1;28.7;18500000.0;Лефортово;проезд Шелихова;3;Площадь Ильича;Символ
ID 71425028;unknown;https://www.cian.ru/sale/flat/307676305/;Москва;sale;flat;2;8;-1;23.5;7550000.0;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
MR Group;developer;https://www.cian.ru/sale/flat/306610091/;Москва;sale;flat;8;59;1;20.6;12924440.0;Можайский;;;Давыдково;Веер ЖК
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307182224/;Москва;sale;flat;11;14;1;35.5;22500000.0;Хамовники;Большой Саввинский переулок;10С1;Киевская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307777295/;Москва;sale;flat;3;6;-1;30.0;5790000.0;Северное Медведково;Полярная ;31С1;Медведково;
MR Group;developer;https://www.cian.ru/sale/flat/303148951/;Москва;sale;flat;3;36;1;27.12;17934456.0;Савеловский;;;Дмитровская;Симфония 34 ЖК
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/306601858/;Москва;sale;flat;4;5;1;15.5;6555000.0;Головинский;Солнечногорская ;7к1;Моссельмаш;
Елена Орлова;realtor;https://www.cian.ru/sale/flat/306217246/;Москва;sale;flat;1;5;-1;14.0;2450000.0;Даниловский;Павелецкая набережная;4;Крестьянская застава;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196060/;Москва;sale;flat;16;27;1;23.1;12679267.0;Щукино; Берзарина;;Щукинская;Октябрьское поле
ID 111240424;homeowner;https://www.cian.ru/sale/flat/308003642/;Москва;sale;flat;28;41;1;30.0;19000000.0;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307909297/;Москва;sale;flat;5;5;-1;13.0;2899999.0;Марьина роща;Стрелецкая ;6;Марьина Роща;
MR Group;developer;https://www.cian.ru/sale/flat/306603345/;Москва;sale;flat;21;36;1;29.3;26272255.0;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301612331/;Москва;sale;flat;5;10;-1;34.0;13200000.0;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
ID 474445;homeowner;https://www.cian.ru/sale/flat/305853295/;Москва;sale;flat;1;5;-1;20.8;4500000.0;Хорошевский;3-я Магистральная ;20Б;Шелепиха;
Мангазея;developer;https://www.cian.ru/sale/flat/307851589/;Москва;sale;flat;8;40;1;33.9;18912810.0;Даниловский;Большая Тульская ;10с25;Тульская;Мангазея на Тульской
ID 112609323;realtor;https://www.cian.ru/sale/flat/307204624/;Москва;sale;flat;4;6;-1;35.17;56272000.0;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/302652575/;Москва;sale;flat;5;5;-1;32.5;4450000.0;; Жемчужная;1к16;Филатов Луг;Марьино Град
Ташир;developer;https://www.cian.ru/sale/flat/302722410/;Москва;sale;flat;4;16;-1;24.0;13749600.0;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/300113349/;Москва;sale;flat;4;15;1;28.1;6769000.0;;;;Ольховая;Новые Ватутинки, мкр. Заречный
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/305056468/;Москва;sale;flat;4;9;1;12.8;4300000.0;Очаково-Матвеевское;Аминьевское шоссе;7;Аминьевская;New Form Аминьевское
Forma;developer;https://www.cian.ru/sale/flat/297983441/;Москва;sale;flat;16;20;1;23.8;14427441.0;Аэропорт;Северный ао;к1;Сокол;Соул ЖК
ID 66341073;realtor;https://www.cian.ru/sale/flat/307096946/;Москва;sale;flat;14;23;1;29.0;19500000.0;Хорошево-Мневники; Нижние Мневники;16к4;Мнёвники;Остров
МДМ-квартира;real_estate_agent;https://www.cian.ru/sale/flat/300392211/;Москва;sale;flat;1;3;-1;31.0;2750000.0;; Центральная;22;Крёкшино;Первомайское
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196528/;Москва;sale;flat;5;20;1;25.1;10860896.0;Головинский;Михалковская ;48С4;Коптево;Михалковский
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/306600164/;Москва;sale;flat;2;5;1;14.7;6571000.0;Головинский;Солнечногорская ;7к1;Моссельмаш;
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/307303087/;Москва;sale;flat;2;8;1;21.2;6900000.0;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
GloraX;developer;https://www.cian.ru/sale/flat/303476996/;Москва;sale;flat;2;21;-1;34.19;20709999.0;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/299019835/;Москва;sale;flat;7;26;1;31.0;25990000.0;Пресненский; Пресненский Вал;27С2;Белорусская;Republic
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304259004/;Москва;sale;flat;1;4;-1;15.4;3200000.0;Таганский;1-я Дубровская ;5А;Пролетарская;
Донстрой;developer;https://www.cian.ru/sale/flat/306643425/;Москва;sale;flat;3;50;1;22.3;15112710.0;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
Александр Сазонов;realtor;https://www.cian.ru/sale/flat/295998456/;Москва;sale;flat;1;5;-1;16.0;5700000.0;Беговой; Новая Башиловка;6;Динамо;
Елена Орлова;realtor;https://www.cian.ru/sale/flat/304031479/;Москва;sale;flat;1;5;-1;8.0;1950000.0;Аэропорт; 8 Марта;15;Гражданская;
Донстрой;developer;https://www.cian.ru/sale/flat/307351227/;Москва;sale;flat;3;21;1;24.6;13677600.0;Лефортово;;;Римская;Символ ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307743652/;Москва;sale;flat;15;29;1;27.0;16100000.0;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
Дома Мечты;real_estate_agent;https://www.cian.ru/sale/flat/307135727/;Москва;sale;flat;1;5;1;10.2;2699999.0;Богородское;Просторная ;15К2;Бульвар Рокоссовского;
Донстрой;developer;https://www.cian.ru/sale/flat/304199104/;Москва;sale;flat;7;21;1;28.1;19445200.0;Хорошево-Мневники;Жилой комплекс остров;6;Мнёвники;Остров
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/307584440/;Москва;sale;flat;1;5;-1;15.1;5100000.0;Москворечье-Сабурово;Каширское шоссе;56К2;Москворечье;
Елена Орлова;realtor;https://www.cian.ru/sale/flat/307233633/;Москва;sale;flat;1;5;-1;10.0;2200000.0;Текстильщики; Юных Ленинцев;14/16к1;Волжская;
Hutton Development;developer;https://www.cian.ru/sale/flat/305627303/;Москва;sale;flat;4;8;1;33.47;22900000.0;Гагаринский;м. Ленинский проспект;;Ленинский проспект;Лунар ЖК
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/295045551/;Москва;sale;flat;5;5;1;15.4;6200000.0;Головинский;Солнечногорская ;7к1;Моссельмаш;
ID 48155603;homeowner;https://www.cian.ru/sale/flat/302157898/;Москва;sale;flat;3;3;1;30.5;4500000.0;; Радужная;2;Прокшино;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307195822/;Москва;sale;flat;3;26;1;25.0;10146300.0;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
ID 85604823;unknown;https://www.cian.ru/sale/flat/304600438/;Москва;sale;flat;28;44;1;30.0;21000000.0;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307584552/;Москва;sale;flat;1;5;-1;14.0;3690000.0;Черемушки;Новочеремушкинская ;38К1;Профсоюзная;
MR Group;developer;https://www.cian.ru/sale/flat/306474401/;Москва;sale;flat;5;54;1;22.72;15599370.0;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
ID 12530791;unknown;https://www.cian.ru/sale/flat/304061764/;Москва;sale;flat;7;37;1;29.2;24300000.0;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/306511786/;Москва;sale;flat;1;5;-1;11.1;5400000.0;Басманный;Малый Козловский переулок;10;Красные ворота;
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/301173746/;Москва;sale;flat;3;46;1;36.8;30197245.0;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
ID 9181948;realtor;https://www.cian.ru/sale/flat/307548167/;Москва;sale;flat;5;20;-1;27.0;19450000.0;Беговой;Бумажный проезд;4;Белорусская;Клубный дом SOHO+NOHO
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/307242673/;Москва;sale;flat;2;19;1;20.0;4600000.0;Некрасовка; Лавриненко;5;Некрасовка;Некрасовка
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/296110745/;Москва;sale;flat;17;30;1;23.4;8402940.0;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/307438192/;Москва;sale;flat;6;9;1;19.9;9000000.0;Люблино;Цимлянская ;3к2;Люблино;
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/303215724/;Москва;sale;flat;1;5;-1;13.4;3400000.0;Хорошевский;3-я Магистральная ;20Б;Шелепиха;
Sminex;developer;https://www.cian.ru/sale/flat/307223489/;Москва;sale;flat;13;14;1;27.0;21690000.0;Раменки;проспект Генерала Дорохова;39к2М;Ломоносовский проспект;Собрание клубных домов West Garden
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302438510/;Москва;sale;flat;20;85;1;34.46;27600000.0;Пресненский;Краснопресненская набережная;;Москва-Сити;Дом Дау
Vysotsky Estate;real_estate_agent;https://www.cian.ru/sale/flat/294202199/;Москва;sale;flat;1;9;1;12.0;4300000.0;Чертаново Центральное;Днепропетровская ;5К2;Южная;
3SGroup;developer;https://www.cian.ru/sale/flat/299379812/;Москва;sale;flat;10;17;1;20.4;6299985.0;;;;Корниловская;FOREVILLE
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307377052/;Москва;sale;flat;14;18;-1;20.0;8700000.0;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
Агентство недвижимости Светланы Наумовой;real_estate_agent;https://www.cian.ru/sale/flat/307780418/;Москва;sale;flat;18;21;1;21.6;7450000.0;Солнцево;Производственная ;17;Солнцево;Лучи
Основа;developer;https://www.cian.ru/sale/flat/286250324/;Москва;sale;flat;6;19;-1;33.7;28308000.0;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307447871/;Москва;sale;flat;22;22;-1;19.4;8880000.0;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ZION;real_estate_agent;https://www.cian.ru/sale/flat/296281165/;Москва;sale;flat;1;5;-1;10.0;2150000.0;Измайлово;Никитинская ;1К3;Измайловская;
Ташир;developer;https://www.cian.ru/sale/flat/307067004/;Москва;sale;flat;11;21;-1;34.7;13959810.0;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/307078166/;Москва;sale;flat;22;22;-1;16.0;8880000.0;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Rent Moscow;real_estate_agent;https://www.cian.ru/sale/flat/307632958/;Москва;sale;flat;1;9;1;10.2;3500000.0;Орехово-Борисово Южное;Ореховый бульвар;12К2;Домодедовская;
Forma;developer;https://www.cian.ru/sale/flat/301653549/;Москва;sale;flat;10;22;1;25.4;15079980.0;Печатники;;;Печатники;Портлэнд ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/305630536/;Москва;sale;flat;22;22;-1;14.3;8280000.0;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Елена Орлова;realtor;https://www.cian.ru/sale/flat/307233708/;Москва;sale;flat;1;5;-1;20.2;3250000.0;Текстильщики; Юных Ленинцев;14/16к1;Волжская;
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/301551578/;Москва;sale;flat;16;34;1;29.4;14644140.0;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297159878/;Москва;sale;flat;14;19;-1;40.0;32800000.0;Красносельский;проспект Академика Сахарова;11;Красные ворота;RED7
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/305287846/;Москва;sale;flat;10;25;1;32.9;7990000.0;Ярославский;Лосиноостровская ;вл45к1;Свиблово;Сказочный лес
PIONEER;developer;https://www.cian.ru/sale/flat/306886958/;Москва;sale;flat;5;25;1;27.04;13984278.0;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
Центр Недвижимости Татьяны Анисимовой;real_estate_agent;https://www.cian.ru/sale/flat/305598331/;Москва;sale;flat;5;7;1;28.3;6300000.0;; Медовая Долина;1к1;Санино;Баркли Медовая долина
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/303962182/;Москва;sale;flat;1;6;-1;13.1;3144000.0;Марфино;Гостиничный проезд;8К1;Окружная;
MR Group;developer;https://www.cian.ru/sale/flat/305978241/;Москва;sale;flat;14;44;1;30.4;17793120.0;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301948702/;Москва;sale;flat;4;33;1;19.1;13700000.0;Хорошево-Мневники;Причальный проезд;8к1;Шелепиха;Level Причальный
Дома Мечты;real_estate_agent;https://www.cian.ru/sale/flat/305637064/;Москва;sale;flat;3;3;-1;19.0;2750000.0;Дмитровский;Ижорский проезд;11с1;Лианозово;
Группа Родина;developer;https://www.cian.ru/sale/flat/305467844/;Москва;sale;flat;2;23;1;25.4;15785440.0;Ростокино;;к5;Ботанический сад;Союз ЖК
ID 38664936;homeowner;https://www.cian.ru/sale/flat/307486697/;Москва;sale;flat;9;9;1;27.0;7190000.0;; Мостовая;5к1;Филатов Луг;
Елена Хоффманн;realtor;https://www.cian.ru/sale/flat/303914914/;Москва;sale;flat;4;6;-1;12.0;3900000.0;Даниловский;Автозаводская ;19К1;Автозаводская;
MR Group;developer;https://www.cian.ru/sale/flat/303135276/;Москва;sale;flat;2;10;1;22.6;11638269.0;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/295278667/;Москва;sale;flat;2;7;-1;27.0;9900000.0;Таганский;Нижегородская ;32С3;Калитники;Loft FM
Центральный Департамент Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/276961554/;Москва;sale;flat;2;21;-1;23.3;4490000.0;;;7;Остафьево;Новомосковский
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/301447808/;Москва;sale;flat;2;16;-1;29.01;14037939.0;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/307603299/;Москва;sale;flat;14;19;1;34.0;16200000.0;Хорошево-Мневники;проспект Маршала Жукова;39Ак1;Народное Ополчение;Wellton park
Самолет Плюс МСК-Север;real_estate_agent;https://www.cian.ru/sale/flat/303762522/;Москва;sale;flat;1;3;-1;18.0;4300000.0;Нагорный;Электролитный проезд;3С32;Нагорная;
Sminex;developer;https://www.cian.ru/sale/flat/307223960/;Москва;sale;flat;20;21;1;25.21;19510000.0;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Вертикаль;real_estate_agent;https://www.cian.ru/sale/flat/302409826/;Москва;sale;flat;5;17;1;20.0;7200000.0;;проспект Куприна;24к3;Потапово;Бунинские луга
Колди;developer;https://www.cian.ru/sale/flat/302241135/;Москва;sale;flat;2;21;-1;17.83;5848240.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Основа;developer;https://www.cian.ru/sale/flat/286250541/;Москва;sale;flat;9;29;-1;29.7;12869426.0;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/304962546/;Москва;sale;flat;3;5;-1;35.0;29000000.0;Тверской; Петровка;26С3;Пушкинская;La Rue
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307393903/;Москва;sale;flat;2;12;-1;21.5;6600000.0;Беговой;Ленинградский проспект;33А;Динамо;
Capital Group;representative_developer;https://www.cian.ru/sale/flat/304746726/;Москва;sale;flat;22;51;1;29.63;19560742.0;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
Александр Кудинов;realtor;https://www.cian.ru/sale/flat/304900218/;Москва;sale;flat;24;46;1;33.0;20900000.0;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/301675898/;Москва;sale;flat;5;5;-1;15.5;3800000.0;Черемушки;Херсонская ;41А;Зюзино;
Основа;developer;https://www.cian.ru/sale/flat/293623776/;Москва;sale;flat;22;28;-1;18.1;10860000.0;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/302446220/;Москва;sale;flat;4;53;1;31.5;12600000.0;Свиблово;проезд Серебрякова;11-13к1;Ботанический сад;Afi Tower
Адресат;real_estate_agent;https://www.cian.ru/sale/flat/307723786/;Москва;sale;flat;3;3;1;30.0;4990000.0;; Радужная;2;Прокшино;
MR Group;developer;https://www.cian.ru/sale/flat/307966985/;Москва;sale;flat;5;21;1;25.15;10907565.0;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/307479776/;Москва;sale;flat;1;5;1;15.8;4345000.0;Головинский;Сенежская ;3;Моссельмаш;
Олег Костюков;realtor;https://www.cian.ru/sale/flat/291304191/;Москва;sale;flat;1;8;-1;15.6;4700000.0;Беговой; Правды;7/9К1;Белорусская;
Prime Life Development;developer;https://www.cian.ru/sale/flat/307945438/;Москва;sale;flat;6;28;1;29.47;16632631.0;Нагатино-Садовники;;;Нагатинская;Первый Нагатинский
I AM ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/307828164/;Москва;sale;flat;4;25;-1;24.0;12300000.0;Покровское-Стрешнево;Волоколамское шоссе;81/2с3;Трикотажная;Апартаментный комплекс Level Стрешнево
Rent Moscow;real_estate_agent;https://www.cian.ru/sale/flat/307347231/;Москва;sale;flat;1;5;1;10.0;3700000.0;Покровское-Стрешнево;Полесский проезд;12;Щукинская;
ASTERUS;developer;https://www.cian.ru/sale/flat/306225099/;Москва;sale;flat;2;30;1;22.5;11745000.0;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302961556/;Москва;sale;flat;20;33;1;23.6;13800000.0;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
Владимир Жуков;realtor;https://www.cian.ru/sale/flat/306015437/;Москва;sale;flat;2;4;-1;11.7;3500000.0;Нижегородский;Подъемная ;14С25;Авиамоторная;
КОРТРОС;developer;https://www.cian.ru/sale/flat/307496271/;Москва;sale;flat;40;49;1;29.41;15234380.0;Марьина роща;;;Марьина Роща;Тэйт ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/300434463/;Москва;sale;flat;5;26;1;20.4;12850000.0;Нагатино-Садовники;1-й Нагатина кв-л;;Нагатинская;Левел Нагатинская ЖК
ID 107343712;homeowner;https://www.cian.ru/sale/flat/307701713/;Москва;sale;flat;17;33;1;20.0;10800000.0;Гольяново;Амурская ;2к2;Черкизовская;Амурский парк
Эталон;developer;https://www.cian.ru/sale/flat/306843103/;Москва;sale;flat;2;17;1;24.9;14867120.0;Даниловский;3-я оч.;к6;ЗИЛ;Shagal
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308013463/;Москва;sale;flat;30;33;1;25.2;11400000.0;Нагатино-Садовники;2-й Нагатинский проезд;2/2к1;Коломенская;Второй Нагатинский
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/304966154/;Москва;sale;flat;5;6;-1;20.4;4490000.0;Перово; 2-я Энтузиастов;5к39;Андроновка;
St Michael;developer;https://www.cian.ru/sale/flat/304242478/;Москва;sale;flat;5;20;1;20.03;12260062.0;Хорошево-Мневники; Берзарина;;Серебряный Бор;Квартал Серебряный Бор
Александр Сазонов;realtor;https://www.cian.ru/sale/flat/295985052/;Москва;sale;flat;1;5;-1;13.0;5200000.0;Беговой; Новая Башиловка;6;Динамо;
Эдуард Сосновский;realtor;https://www.cian.ru/sale/flat/307722200/;Москва;sale;flat;14;20;-1;29.4;13999999.0;Бутырский;Новодмитровская ;2к4;Дмитровская;Савеловский Сити
Группа Родина;developer;https://www.cian.ru/sale/flat/293200784/;Москва;sale;flat;8;13;1;25.0;9900000.0;; 1-я Ватутинская;14к1;Ватутинки;Russian Design District
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/302738014/;Москва;sale;flat;2;3;1;43.8;13140000.0;Преображенское;Суворовская ;19С2;Преображенская площадь;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/306357119/;Москва;sale;flat;9;27;1;25.4;11800000.0;Останкинский;;;Алексеевская;АйЛав ЖК
ДомДау;developer;https://www.cian.ru/sale/flat/300199118/;Москва;sale;flat;5;85;1;46.54;39637987.0;Пресненский;Московский международный деловой центр Москва-Сити тер.;;;Дом Дау
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305509203/;Москва;sale;flat;18;26;1;26.1;13500000.0;Нагатино-Садовники;Нагатинская набережная;10А;Нагатинская;Level Нагатинская
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307252201/;Москва;sale;flat;1;12;1;14.0;4100000.0;Преображенское;2-я Пугачевская ;7К1;Преображенская площадь;
St Michael;developer;https://www.cian.ru/sale/flat/305847929/;Москва;sale;flat;13;21;-1;28.62;14387700.0;Хорошевский;9Ак7;9Ак7;Полежаевская;Зорге 9 ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306105097/;Москва;sale;flat;11;18;-1;26.0;9800000.0;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
Основа;developer;https://www.cian.ru/sale/flat/306782637/;Москва;sale;flat;12;31;1;40.0;17680000.0;Марфино;Ботаническая ;29Ак3;Улица Милашенкова;VERY
Минские холмы;developer;https://www.cian.ru/sale/flat/307995270/;Москва;sale;flat;7;52;1;25.5;14130355.0;Раменки;проспект Генерала Дорохова;вл1к1;Раменки;Will Towers
ID 85604823;unknown;https://www.cian.ru/sale/flat/307257468/;Москва;sale;flat;28;42;1;30.0;20000000.0;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Владис;real_estate_agent;https://www.cian.ru/sale/flat/306832224/;Москва;sale;flat;6;7;-1;18.4;4500000.0;Южное Бутово; Адмирала Руднева;20;Бунинская аллея;
Основа;developer;https://www.cian.ru/sale/flat/307022599/;Москва;sale;flat;5;18;-1;30.87;8396640.0;Перово;Электродная ;;Шоссе Энтузиастов;EvoPark Измайлово
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298373543/;Москва;sale;flat;4;18;1;21.6;8200000.0;;проспект Прокшинский;9;Прокшино;Прокшино
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/301264261/;Москва;sale;flat;19;23;-1;23.4;6500000.0;Южнопортовый;м. Волгоградский проспект;;Волгоградский проспект;Хайвэй ЖК
