author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Самолет;developer;https://www.cian.ru/sale/flat/307017977/;Москва;sale;flat;1;7;1;38.58;7805613.0;;;к26;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018087/;Москва;sale;flat;5;9;1;25.51;7805581.0;;;к17;Рассказовка;Новое Внуково ЖК
А101;developer;https://www.cian.ru/sale/flat/306741144/;Москва;sale;flat;5;16;1;23.6;7776681.0;Южное Бутово;к2.4;к2.4;Бунинская аллея;Южные Сады ЖК
А101;developer;https://www.cian.ru/sale/flat/306747899/;Москва;sale;flat;2;8;1;33.2;7776211.0;;;к2.3;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747943/;Москва;sale;flat;2;9;1;30.6;7813159.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306742754/;Москва;sale;flat;16;16;1;22.6;7842064.0;;;к11;Прокшино;Прокшино ЖК
А101;developer;https://www.cian.ru/sale/flat/306744094/;Москва;sale;flat;18;18;1;23.0;7798150.0;;;2.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743093/;Москва;sale;flat;6;16;1;23.6;7750540.0;;;3.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306738537/;Москва;sale;flat;12;17;1;22.4;7812484.0;;;25.2;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738534/;Москва;sale;flat;10;17;1;22.5;7758970.0;;;25.2;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738653/;Москва;sale;flat;3;18;1;24.5;7794087.0;;;37.2.2;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306736968/;Москва;sale;flat;3;17;1;24.4;7791018.0;;;25.5;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738901/;Москва;sale;flat;11;18;1;22.9;7801068.0;;;37.2.1;Бунинская аллея;Скандинавия ЖК
Аквилон;developer;https://www.cian.ru/sale/flat/304054920/;Москва;sale;flat;13;23;-1;27.3;7832670.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Колди;developer;https://www.cian.ru/sale/flat/307116385/;Москва;sale;flat;11;21;-1;24.56;7830612.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Колди;developer;https://www.cian.ru/sale/flat/302241240/;Москва;sale;flat;3;21;-1;28.51;7830128.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207548/;Москва;sale;flat;1;19;1;22.0;7791185.0;;;9-я фаза;Новопеределкино;Первый Московский ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/306642176/;Москва;sale;flat;1;17;1;19.9;7827577.0;;;к1;Боровское шоссе;Переделкино Ближнее Город-парк
;;https://www.cian.ru/sale/flat/294904321/;Москва;sale;flat;4;18;-1;25.4;7842250.0;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
